"Version","ID","Name","productURL","imageURL","price","Description","Longid","deliveryTime","shortDescription","previousPrice","shippingCost","brand","Party","Category","Secondary Category"
"2","8M9DZSW5CDB6-JRM7","Lenovo Ideacentre Y700 90DG0035US Gaming Desktop","https://www.microsoft.com/en-us/store/d/lenovo-ideacentre-y700-90dg0035us-gaming-desktop/8M9DZSW5CDB6/JRM7","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1mnx6?ver=90d7","829"," Desktop PC (no monitor)  Intel Core i5-7400  8GB memory/1TB HDD  NVIDIA GeForce GTX 1050Ti graphics","8M9DZSW5CDB6","02/09/2018","Lenovo Ideacentre Y700 90DG0035US Gaming Desktop","829","0","Microsoft","3P","PCs","PC"
"2","8M9JH7M28HRC-34J4","The Guild 3: Aristocratic Edition PC Game","https://www.microsoft.com/en-us/store/d/the-guild-3-aristocratic-edition-pc-game/8M9JH7M28HRC/34J4","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1F9aW?ver=999e","79.99","Europe, 1400. As the Dark Ages come to an end, it's time to build a family dynasty that will last for centuries. Shape your legacy by joining powerful social clubs, creating new neighborhoods, and establishing a strong economy. Includes The Guild Card Game, Balbulus figurine, and soundtrack.  Release date: 12/31/2018","8M9JH7M28HRC","02/09/2018","The Guild 3: Aristocratic Edition PC Game","79.99","0","Microsoft","3P","Gaming","Games and Content"
"2","8M9PRDP4XXVM-MLQK","Far Cry 5 for Xbox One","https://www.microsoft.com/en-us/store/d/far-cry-5-for-xbox-one/8M9PRDP4XXVM/MLQK","https://img-prod-cms-rt-microsoft-com.akamaized.net//cms/api/am/imageFileData/RW8Wjl?ver=3c05","69.99","Rise up, spark the fires of resistance, and liberate Hope County from the stronghold of a fanatical doomsday cult.   Deluxe Edition includes: Big Game Hunter Pack, Ace Pilot Pack, Explosive Pack, Chaos Pack, AR-C Assault Rifle, and .44 Magnum Handgun with Unique Skins.   Release date: March 27, 2018","8M9PRDP4XXVM","02/09/2018","Far Cry 5 Deluxe Edition for Xbox One","69.99","0","Microsoft","3P","Gaming","Games & Content"
"2","8M9PRDP4XXVM-NDKN","Far Cry 5 for Xbox One","https://www.microsoft.com/en-us/store/d/far-cry-5-for-xbox-one/8M9PRDP4XXVM/NDKN","https://img-prod-cms-rt-microsoft-com.akamaized.net//cms/api/am/imageFileData/RW8LWf?ver=4234","99.99","Rise up, spark the fires of resistance, and liberate Hope County from the stronghold of a fanatical doomsday cult.   Gold Edition includes: The Game, Deluxe Pack, and Season Pass.  Release date: March 27, 2018","8M9PRDP4XXVM","02/09/2018","Far Cry 5 Gold Edition for Xbox One","99.99","0","Microsoft","3P","Gaming","Games & Content"
"2","8M9PRDP4XXVM-WD34","Far Cry 5 for Xbox One","https://www.microsoft.com/en-us/store/d/far-cry-5-for-xbox-one/8M9PRDP4XXVM/WD34","https://img-prod-cms-rt-microsoft-com.akamaized.net//cms/api/am/imageFileData/RW9436?ver=0361","59.99","Rise up, spark the fires of resistance, and liberate Hope County from the stronghold of a fanatical doomsday cult.  Release date: March 27, 2018","8M9PRDP4XXVM","02/09/2018","Far Cry 5 for Xbox One","59.99","0","Microsoft","3P","Gaming","Games & Content"
"2","8M9TL0QLQQLX-KT2H","LEGO CITY Undercover for Xbox One","https://www.microsoft.com/en-us/store/d/lego-city-undercover-for-xbox-one/8M9TL0QLQQLX/KT2H","http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW2qT3?ver=d1a6","29.99","Go undercover as Chase McCain in a LEGO world filled with cops, criminals, and side-splitting humor.","8M9TL0QLQQLX","02/09/2018","LEGO CITY Undercover for Xbox One","59.99","0","Microsoft","3P","Gaming","Games & Content"
"2","8M9X1TS7M0CG-VJJ4","Sword Art Online: Fatal Bullet for Xbox One","https://www.microsoft.com/en-us/store/d/sword-art-online-fatal-bullet-for-xbox-one/8M9X1TS7M0CG/VJJ4","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1EiZv?ver=e034","59.95","Become the hero, battle against opponents using new weapons, and prove your strength as you explore the diverse landscape of Gun Gale Online.   Release date: February 23, 2018","8M9X1TS7M0CG","02/09/2018","Sword Art Online: Fatal Bullet for Xbox One","59.95","0","Microsoft","3P","Gaming","Games and Content"
"2","8MB6CR05S1QD-0T4C","Homefront: The Revolution para Xbox One","https://www.microsoft.com/en-us/store/d/homefront-the-revolution-para-xbox-one/8MB6CR05S1QD/0T4C","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1rn6u?ver=a075","7.99","Wage guerrilla warfare and reclaim the streets of Philadelphia in Homefront: The Revolution for Xbox One.","8MB6CR05S1QD","02/09/2018","Homefront: The Revolution for Xbox One","7.99","0","Microsoft","3P","Gaming","Games & Content"
"2","8MB6CR05S1QD-DFL2","Homefront: The Revolution para Xbox One","https://www.microsoft.com/en-us/store/d/homefront-the-revolution-para-xbox-one/8MB6CR05S1QD/DFL2","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW83Ne?ver=21d4","159.99","The Goliath Edition includes the game, plus:   A radio controlled scale replica 'Goliath' Drone, with working lights and six-wheel suspension.  An exclusive Steel Book  A 32 page Art Book  The 'Revolutionary Spirit' pack  Homefront: The Revolution Expansion Pass","8MB6CR05S1QD","02/09/2018","Homefront: The Revolution Goliath Edition for Xbox One","159.99","0","Microsoft","3P","Gaming","Games & Content"
"2","8MBJGK735TR9-9WGS","Sherlock Holmes: The Devil's Daughter for Xbox One","https://www.microsoft.com/en-us/store/d/sherlock-holmes-the-devils-daughter-for-xbox-one/8MBJGK735TR9/9WGS","http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1oooS?ver=faea","19.95","Untangle a web of mysteries while playing the extraordinary Sherlock Holmes in this fantastic adventure that tests your nerves and intelligence. Use the science of deduction to track down evil in the darkest corners of London and uncover a stunning revelation.","8MBJGK735TR9","02/09/2018","Sherlock Holmes: The Devil's Daughter for Xbox One","19.95","0","Microsoft","3P","Gaming","Games & Content"
