"Version","ID","Name","productURL","imageURL","price","Description","Longid","deliveryTime","shortDescription","previousPrice","shippingCost","brand","Party","Category","Secondary Category"
"2","8M9DZSW5CDB6-JRM7","Lenovo Ideacentre Y700 90DG0035US Gaming Desktop","https://www.microsoft.com/en-ca/store/d/lenovo-ideacentre-y700-90dg0035us-gaming-desktop/8M9DZSW5CDB6/JRM7","https://img-prod-cms-rt-microsoft-com.akamaized.net//cms/api/am/imageFileData/RW7NZV?ver=3382","999"," Desktop PC (no monitor)  Intel Core i5-7400  8GB memory/1TB HDD  NVIDIA GeForce GTX 1050Ti graphics","8M9DZSW5CDB6","02/09/2018","Lenovo Ideacentre Y700 90DG0035US Gaming Desktop","999","0","Microsoft","3P","PCs","PC"
"2","8MBJGK735TR9-9WGS","Sherlock Holmes: The Devil's Daughter for Xbox One","https://www.microsoft.com/en-ca/store/d/sherlock-holmes-the-devils-daughter-for-xbox-one/8MBJGK735TR9/9WGS","http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1oooS?ver=faea","49.95","Untangle a web of mysteries while playing the extraordinary Sherlock Holmes in this fantastic adventure that tests your nerves and intelligence. Use the science of deduction to track down evil in the darkest corners of London and uncover a stunning revelation.","8MBJGK735TR9","02/09/2018","Sherlock Holmes: The Devil's Daughter for Xbox One","49.95","0","Microsoft","3P","Gaming","Games & Content"
"2","8MC6k8M228SK-7FB9","Surface Pro + Black Type Cover Bundle ","https://www.microsoft.com/en-ca/store/d/surface-pro--black-type-cover-bundle/8MC6k8M228SK/7FB9","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=fa95","1818.99"," Surface Pro with 7th Gen Intel Core processor and all-day battery life²   Black Surface Pro Type Cover   Fastest startup and resume of any Surface Pro yet   Redesigned front-facing speakers and quieter fanless cooling system⁵   Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase*   Surface Pen sold separately ","8MC6k8M228SK","02/09/2018","Surface Pro + Black Type Cover Bundle ","1818.99","0","Microsoft","1P","Surface","Surface Devices"
"2","8MC6k8M228SK-9L38","Surface Pro + Black Type Cover Bundle ","https://www.microsoft.com/en-ca/store/d/surface-pro--black-type-cover-bundle/8MC6k8M228SK/9L38","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=fa95","1468.99"," Surface Pro with 7th Gen Intel Core processor and all-day battery life²   Black Surface Pro Type Cover   Fastest startup and resume of any Surface Pro yet   Redesigned front-facing speakers and quieter fanless cooling system⁵   Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase*  Surface Pen sold separately ","8MC6k8M228SK","02/09/2018","Surface Pro + Black Type Cover Bundle ","1468.99","0","Microsoft","1P","Surface","Surface Devices"
"2","8MCPZJJCC98C-0LHX","Surface Book 2","https://www.microsoft.com/en-ca/store/d/surface-book-2/8MCPZJJCC98C/0LHX","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0","1979"," Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life¹  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training | In-store support | Phone technical support","8MCPZJJCC98C","02/09/2018","Surface Book 2 - 13.5" / 256GB / Intel Core i5 (French)","1979","0","Microsoft","1P","Surface","Surface Devices"
"2","8MCPZJJCC98C-290F","Surface Book 2","https://www.microsoft.com/en-ca/store/d/surface-book-2/8MCPZJJCC98C/290F","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0","3699"," Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training | In-store support | Phone technical support","8MCPZJJCC98C","02/09/2018","Surface Book 2 - 15" / 512GB / Intel Core i7 (English) - Release date: 15/02/2018","3699","0","Microsoft","1P","Surface","Surface Accessories"
"2","8MCPZJJCC98C-2KD0","Surface Book 2","https://www.microsoft.com/en-ca/store/d/surface-book-2/8MCPZJJCC98C/2KD0","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0","3199"," Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training | In-store support | Phone technical support","8MCPZJJCC98C","02/09/2018","Surface Book 2 - 15" / 256GB / Intel Core i7 (French)","3199","0","Microsoft","1P","Surface","Surface Accessories"
"2","8MCPZJJCC98C-2MQS","Surface Book 2","https://www.microsoft.com/en-ca/store/d/surface-book-2/8MCPZJJCC98C/2MQS","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0","3199"," Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training | In-store support | Phone technical support","8MCPZJJCC98C","02/09/2018","Surface Book 2 - 15" / 256GB / Intel Core i7 (English) - Release date: 15/02/2018","3199","0","Microsoft","1P","Surface","Surface Accessories"
"2","8MCPZJJCC98C-2NQP","Surface Book 2","https://www.microsoft.com/en-ca/store/d/surface-book-2/8MCPZJJCC98C/2NQP","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0","2649"," Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life¹  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training | In-store support | Phone technical support","8MCPZJJCC98C","02/09/2018","Surface Book 2 - 13.5" / 256GB / Intel Core i7 (English)","2649","0","Microsoft","1P","Surface","Surface Devices"
"2","8MCPZJJCC98C-4PTB","Surface Book 2","https://www.microsoft.com/en-ca/store/d/surface-book-2/8MCPZJJCC98C/4PTB","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0","3249"," Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life¹  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training | In-store support | Phone technical support","8MCPZJJCC98C","02/09/2018","Surface Book 2 - 13.5" / 512GB / Intel Core i7 (English)","3249","0","Microsoft","1P","Surface","Surface Devices"
