id	"Title"	"description"	price	link	product_type	availability	image_link	condition	shippingweight	gtin	shipping	brand	custom_label_0	"custom_label_1"	custom_label_3	identifier_exists	gender	age_group	Google_product_category	custom_label_4	custom_label_2	promotion_Id	display_ads_title	display_ads_value	Sale_Price
8MCPZJJCC98C-3JZG	"Surface Book 2 – 13.5"/512 GB/Intel Core i7"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)   Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life   Powerful enough to run professional-grade software and play PC games  New USB-C port   Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training |In-store support | Phone technical support"	3799	https://www.microsoft.com/en-au/store/d/surface-book-2/8MCPZJJCC98C/3JZG	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new			AU:::0.00		Electronics	"Computers"		no	unisex	adult	Electronics > Computers > Laptops						3799
8MCPZJJCC98C-4WCK	"Surface Book 2 - 15"/256 GB/Intel Core i7"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)   Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life   Powerful enough to run professional-grade software and play PC games  New USB-C port   Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training |In-store support | Phone technical support  Release date: 15/02/2017"	3649	https://www.microsoft.com/en-au/store/d/surface-book-2/8MCPZJJCC98C/4WCK	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new			AU:::0.00		Electronics	"Electronics Accessories"		no	unisex	adult	Electronics > Electronics Accessories > Computer Accessories						3649
8MCPZJJCC98C-58HX	"Surface Book 2 – 13.5"/256 GB/Intel Core i5"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)   Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life   Powerful enough to run professional-grade software and play PC games  New USB-C port   Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training |In-store support | Phone technical support"	2199	https://www.microsoft.com/en-au/store/d/surface-book-2/8MCPZJJCC98C/58HX	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new			AU:::0.00		Electronics	"Computers"		no	unisex	adult	Electronics > Computers > Laptops						2199
8MCPZJJCC98C-5BGJ	"Surface Book 2 - 13.5"/1 TB/Intel Core i7"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)   Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life   Powerful enough to run professional-grade software and play PC games  New USB-C port   Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training |In-store support | Phone technical support"	4499	https://www.microsoft.com/en-au/store/d/surface-book-2/8MCPZJJCC98C/5BGJ	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new			AU:::0.00		Electronics	"Computers"		no	unisex	adult	Electronics > Computers > Laptops						4499
8MCPZJJCC98C-5HWG	"Surface Book 2 – 13.5"/256 GB/Intel Core i7"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)   Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life   Powerful enough to run professional-grade software and play PC games  New USB-C port   Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training |In-store support | Phone technical support"	2999	https://www.microsoft.com/en-au/store/d/surface-book-2/8MCPZJJCC98C/5HWG	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new			AU:::0.00		Electronics	"Computers"		no	unisex	adult	Electronics > Computers > Laptops						2999
8MCPZJJCC98C-JMPX	"Surface Book 2 - 15"/1 TB/Intel Core i7"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)   Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life   Powerful enough to run professional-grade software and play PC games  New USB-C port   Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training |In-store support | Phone technical support  Release date: 15/02/2017"	4849	https://www.microsoft.com/en-au/store/d/surface-book-2/8MCPZJJCC98C/JMPX	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new			AU:::0.00		Electronics	"Electronics Accessories"		no	unisex	adult	Electronics > Electronics Accessories > Computer Accessories						4849
8MCPZJJCC98C-NG04	"Surface Book 2 - 15"/512 GB/Intel Core i7"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)   Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life   Powerful enough to run professional-grade software and play PC games  New USB-C port   Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training |In-store support | Phone technical support  Release date: 15/02/2017"	4249	https://www.microsoft.com/en-au/store/d/surface-book-2/8MCPZJJCC98C/NG04	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new			AU:::0.00		Electronics	"Electronics Accessories"		no	unisex	adult	Electronics > Electronics Accessories > Computer Accessories						4249
8MGS97TPVKS4-C5FZ	"Microsoft Surface Keyboard"	"Microsoft® Surface Keyboard SC Bluetooth English GRAY APOC 1 License"	159.95	https://www.microsoft.com/en-au/store/d/surface-keyboard/8MGS97TPVKS4/C5FZ	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1luV9?ver=a538	new		889842103731	AU:::0.00	Microsoft	Electronics	"Electronics Accessories"	1P	yes	unisex	adult	Electronics > Electronics Accessories > Computer Components > Input Devices > Keyboards						159.95
8MH5XK4S0TV2-MC2R	"Xbox Wireless Controller - Minecraft Pig"	"Prepare to create, explore and survive your own Minecraft adventure. This Xbox Controller features the iconic pink Pig design, textured grip and Bluetooth technology for gaming on Windows 10 PCs and tablets."	99.95	https://www.microsoft.com/en-au/store/d/xbox-wireless-controller---minecraft-pig/8MH5XK4S0TV2/MC2R	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1CSJ0?ver=360a	new		889842182330	AU:::0.00	Microsoft	Software	"Video Game Software"	1P	yes	unisex	adult	Software > Video Game Software						99.95
8MJC3670Q3CH-FP2B	"Halo Wars 2: Ultimate Edition for Xbox One"	"Prepare yourself for war with the Halo Wars 2: Ultimate Edition. Includes:  Halo Wars 2 Season Pass digital code[2]  Halo Wars: Definitive Edition digital code.[3] Experience the original Halo Wars with enhanced graphics, new achievements, and all of its DLC, running natively on Xbox One."	119.95	https://www.microsoft.com/en-au/store/d/halo-wars-2-ultimate-edition-for-xbox-one/8MJC3670Q3CH/FP2B	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1n0yN?ver=d3a8	new		889842149555	AU:::0.00	Microsoft	Software	"Video Game Software"	1P	yes	unisex	adult	Software > Video Game Software						119.95
