id	"Title"	"description"	price	link	product_type	availability	image_link	condition	shippingweight	gtin	shipping	brand	custom_label_0	"custom_label_1"	custom_label_3	identifier_exists	gender	age_group	Google_product_category	custom_label_4	custom_label_2	promotion_Id	display_ads_title	display_ads_value	Sale_Price
8MBJGK735TR9-9WGS	"Sherlock Holmes: The Devil's Daughter for Xbox One"	"Untangle a web of mysteries while playing the extraordinary Sherlock Holmes in this fantastic adventure that tests your nerves and intelligence. Use the science of deduction to track down evil in the darkest corners of London and uncover a stunning revelation."	49.95	https://www.microsoft.com/en-ca/store/d/sherlock-holmes-the-devils-daughter-for-xbox-one/8MBJGK735TR9/9WGS	Gaming	in stock	http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1oooS?ver=faea	new		722674220675	CA:::0.00	Namco	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						49.95
8MC6k8M228SK-7FB9	"Surface Pro + Black Type Cover Bundle "	" Surface Pro with 7th Gen Intel Core processor and all-day battery life²   Black Surface Pro Type Cover   Fastest startup and resume of any Surface Pro yet   Redesigned front-facing speakers and quieter fanless cooling system⁵   Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase*   Surface Pen sold separately "	1818.99	https://www.microsoft.com/en-ca/store/d/surface-pro--black-type-cover-bundle/8MC6k8M228SK/7FB9	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=fa95	new		889842239348	CA:::0.00		Electronics	"Computers"		yes	unisex	adult	Electronics > Computers > Laptops						1818.99
8MC6k8M228SK-9L38	"Surface Pro + Black Type Cover Bundle "	" Surface Pro with 7th Gen Intel Core processor and all-day battery life²   Black Surface Pro Type Cover   Fastest startup and resume of any Surface Pro yet   Redesigned front-facing speakers and quieter fanless cooling system⁵   Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase*  Surface Pen sold separately "	1468.99	https://www.microsoft.com/en-ca/store/d/surface-pro--black-type-cover-bundle/8MC6k8M228SK/9L38	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=fa95	new		889842239409	CA:::0.00		Electronics	"Computers"		yes	unisex	adult	Electronics > Computers > Laptops						1468.99
8MCPZJJCC98C-0LHX	"Surface Book 2 - 13.5" / 256GB / Intel Core i5 (French)"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life¹  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training | In-store support | Phone technical support"	1979	https://www.microsoft.com/en-ca/store/d/surface-book-2/8MCPZJJCC98C/0LHX	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new		889842248647	CA:::0.00		Electronics	"Computers"		yes	unisex	adult	Electronics > Computers > Laptops						1979
8MCPZJJCC98C-290F	"Surface Book 2 - 15" / 512GB / Intel Core i7 (English) - Release date: 15/02/2018"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training | In-store support | Phone technical support"	3699	https://www.microsoft.com/en-ca/store/d/surface-book-2/8MCPZJJCC98C/290F	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new		889842247282	CA:::0.00		Electronics	"Electronics Accessories"		yes	unisex	adult	Electronics > Electronics Accessories > Computer Accessories						3699
8MCPZJJCC98C-2KD0	"Surface Book 2 - 15" / 256GB / Intel Core i7 (French)"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training | In-store support | Phone technical support"	3199	https://www.microsoft.com/en-ca/store/d/surface-book-2/8MCPZJJCC98C/2KD0	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new			CA:::0.00		Electronics	"Electronics Accessories"		no	unisex	adult	Electronics > Electronics Accessories > Computer Accessories						3199
8MCPZJJCC98C-2MQS	"Surface Book 2 - 15" / 256GB / Intel Core i7 (English) - Release date: 15/02/2018"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training | In-store support | Phone technical support"	3199	https://www.microsoft.com/en-ca/store/d/surface-book-2/8MCPZJJCC98C/2MQS	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new		889842249187	CA:::0.00		Electronics	"Electronics Accessories"		yes	unisex	adult	Electronics > Electronics Accessories > Computer Accessories						3199
8MCPZJJCC98C-2NQP	"Surface Book 2 - 13.5" / 256GB / Intel Core i7 (English)"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life¹  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training | In-store support | Phone technical support"	2649	https://www.microsoft.com/en-ca/store/d/surface-book-2/8MCPZJJCC98C/2NQP	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new		889842249071	CA:::0.00		Electronics	"Computers"		yes	unisex	adult	Electronics > Computers > Laptops						2649
8MCPZJJCC98C-4PTB	"Surface Book 2 - 13.5" / 512GB / Intel Core i7 (English)"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life¹  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training | In-store support | Phone technical support"	3249	https://www.microsoft.com/en-ca/store/d/surface-book-2/8MCPZJJCC98C/4PTB	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new		889842248852	CA:::0.00		Electronics	"Computers"		yes	unisex	adult	Electronics > Computers > Laptops						3249
8MCPZJJCC98C-9FRM	"Surface Book 2 - 13.5" / 1TB / Intel Core i7 (French)"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life¹  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Exceptional care and support at Microsoft Store:  30-day returns | Free training | In-store support | Phone technical support"	3849	https://www.microsoft.com/en-ca/store/d/surface-book-2/8MCPZJJCC98C/9FRM	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new		889842249194	CA:::0.00		Electronics	"Computers"		yes	unisex	adult	Electronics > Computers > Laptops						3849
