id	"Title"	"description"	price	link	product_type	availability	image_link	condition	shippingweight	gtin	shipping	brand	custom_label_0	"custom_label_1"	custom_label_3	identifier_exists	gender	age_group	Google_product_category	custom_label_4	custom_label_2	promotion_Id	display_ads_title	display_ads_value	Sale_Price
8MB6CR05S1QD-5N54	"Homefront: The Revolution for Xbox One"	"Wage guerrilla warfare and reclaim the streets of Philadelphia in Homefront: The Revolution for Xbox One."	24.99	https://www.microsoft.com/en-gb/store/d/homefront-the-revolution-for-xbox-one/8MB6CR05S1QD/5N54	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1rn6u?ver=a075	new			GB:::0.00	Deep Silver	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						24.99
8MCPZJJCC98C-65B8	"Surface Book 2 - 13.5"/ 512GB / Intel Core i7 / British Qwerty"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase**. Redeem your offer right from your new Surface   Exceptional care and support at Microsoft Store: Get hassle-free 30-day returns, phone technical support, and more. "	2499	https://www.microsoft.com/en-gb/store/d/surface-book-2/8MCPZJJCC98C/65B8	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new		889842249095	GB:::0.00		Electronics	"Computers"		yes	unisex	adult	Electronics > Computers > Laptops						2499
8MCPZJJCC98C-7B49	"Surface Book 2 - 13.5"/ 256GB / Intel Core i5 / British Qwerty "	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase**. Redeem your offer right from your new Surface   Exceptional care and support at Microsoft Store: Get hassle-free 30-day returns, phone technical support, and more.          "	1499	https://www.microsoft.com/en-gb/store/d/surface-book-2/8MCPZJJCC98C/7B49	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new		889842248654	GB:::0.00		Electronics	"Computers"		yes	unisex	adult	Electronics > Computers > Laptops						1499
8MCPZJJCC98C-FKPK	"Surface Book 2 - 15"/ 512GB / Intel Core i7 / French Azerty "	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase**. Redeem your offer right from your new Surface   Exceptional care and support at Microsoft Store: Get hassle-free 30-day returns, phone technical support, and more. "	2749	https://www.microsoft.com/en-gb/store/d/surface-book-2/8MCPZJJCC98C/FKPK	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new			GB:::0.00		Electronics	"Electronics Accessories"		no	unisex	adult	Electronics > Electronics Accessories > Computer Accessories						2749
8MCPZJJCC98C-GJGS	"Surface Book 2 - 15"/ 256GB / Intel Core i7 / British Qwerty"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase**. Redeem your offer right from your new Surface   Exceptional care and support at Microsoft Store: Get hassle-free 30-day returns, phone technical support, and more. "	2349	https://www.microsoft.com/en-gb/store/d/surface-book-2/8MCPZJJCC98C/GJGS	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new			GB:::0.00		Electronics	"Electronics Accessories"		no	unisex	adult	Electronics > Electronics Accessories > Computer Accessories						2349
8MCPZJJCC98C-GWQP	"Surface Book 2 - 13.5"/ 256GB / Intel Core i7 / British Qwerty"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase**. Redeem your offer right from your new Surface   Exceptional care and support at Microsoft Store: Get hassle-free 30-day returns, phone technical support, and more. "	1999	https://www.microsoft.com/en-gb/store/d/surface-book-2/8MCPZJJCC98C/GWQP	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new		889842248876	GB:::0.00		Electronics	"Computers"		yes	unisex	adult	Electronics > Computers > Laptops						1999
8MCPZJJCC98C-JVFH	"Surface Book 2 - 15"/ 1TB / Intel Core i7 / British Qwerty"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase**. Redeem your offer right from your new Surface   Exceptional care and support at Microsoft Store: Get hassle-free 30-day returns, phone technical support, and more. "	3149	https://www.microsoft.com/en-gb/store/d/surface-book-2/8MCPZJJCC98C/JVFH	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new			GB:::0.00		Electronics	"Electronics Accessories"		no	unisex	adult	Electronics > Electronics Accessories > Computer Accessories						3149
8MCPZJJCC98C-KDWG	"Surface Book 2 - 15"/ 512GB / Intel Core i7 / German Qwertz "	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase**. Redeem your offer right from your new Surface   Exceptional care and support at Microsoft Store: Get hassle-free 30-day returns, phone technical support, and more. "	2749	https://www.microsoft.com/en-gb/store/d/surface-book-2/8MCPZJJCC98C/KDWG	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new			GB:::0.00		Electronics	"Electronics Accessories"		no	unisex	adult	Electronics > Electronics Accessories > Computer Accessories						2749
8MCPZJJCC98C-LDVM	"Surface Book 2 - 13.5"/ 1TB / Intel Core i7 / British Qwerty"	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase**. Redeem your offer right from your new Surface   Exceptional care and support at Microsoft Store: Get hassle-free 30-day returns, phone technical support, and more. "	2999	https://www.microsoft.com/en-gb/store/d/surface-book-2/8MCPZJJCC98C/LDVM	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new		889842249200	GB:::0.00		Electronics	"Computers"		yes	unisex	adult	Electronics > Computers > Laptops						2999
8MCPZJJCC98C-M0VK	"Surface Book 2 - 15"/ 256GB  / Intel Core i7 / French Azerty "	" Available in 13.5” or 15” PixelSense Display  High-speed Intel processors (dual-core and quad-core available)  Up to 1060 NVIDIA GeForce GTX graphics  Up to 17 hours of battery life  Powerful enough to run professional-grade software and play PC games  New USB-C port  Starting at 3.38 lbs (1,534 g) including keyboard   Runs Windows 10 Pro  Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase**. Redeem your offer right from your new Surface   Exceptional care and support at Microsoft Store: Get hassle-free 30-day returns, phone technical support, and more. "	2349	https://www.microsoft.com/en-gb/store/d/surface-book-2/8MCPZJJCC98C/M0VK	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FU5k?ver=e2c0	new			GB:::0.00		Electronics	"Electronics Accessories"		no	unisex	adult	Electronics > Electronics Accessories > Computer Accessories						2349
