id	"Title"	"description"	price	link	product_type	availability	image_link	condition	shippingweight	gtin	shipping	brand	custom_label_0	"custom_label_1"	custom_label_3	identifier_exists	gender	age_group	Google_product_category	custom_label_4	custom_label_2	promotion_Id	display_ads_title	display_ads_value	Sale_Price
8M9JH7M28HRC-34J4	"The Guild 3: Aristocratic Edition PC Game"	"Europe, 1400. As the Dark Ages come to an end, it's time to build a family dynasty that will last for centuries. Shape your legacy by joining powerful social clubs, creating new neighborhoods, and establishing a strong economy. Includes The Guild Card Game, Balbulus figurine, and soundtrack.  Release date: 12/31/2018"	79.99	https://www.microsoft.com/en-us/store/d/the-guild-3-aristocratic-edition-pc-game/8M9JH7M28HRC/34J4	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1F9aW?ver=999e	new			US:::0.00		Software	"Video Game Software"		no	unisex	adult	Software > Video Game Software						79.99
8M9PRDP4XXVM-MLQK	"Far Cry 5 Deluxe Edition for Xbox One"	"Rise up, spark the fires of resistance, and liberate Hope County from the stronghold of a fanatical doomsday cult.   Deluxe Edition includes: Big Game Hunter Pack, Ace Pilot Pack, Explosive Pack, Chaos Pack, AR-C Assault Rifle, and .44 Magnum Handgun with Unique Skins.   Release date: March 27, 2018"	69.99	https://www.microsoft.com/en-us/store/d/far-cry-5-for-xbox-one/8M9PRDP4XXVM/MLQK	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net//cms/api/am/imageFileData/RW8Wjl?ver=3c05	new		887256028992	US:::0.00	Ubisoft	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						69.99
8M9PRDP4XXVM-NDKN	"Far Cry 5 Gold Edition for Xbox One"	"Rise up, spark the fires of resistance, and liberate Hope County from the stronghold of a fanatical doomsday cult.   Gold Edition includes: The Game, Deluxe Pack, and Season Pass.  Release date: March 27, 2018"	99.99	https://www.microsoft.com/en-us/store/d/far-cry-5-for-xbox-one/8M9PRDP4XXVM/NDKN	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net//cms/api/am/imageFileData/RW8LWf?ver=4234	new		887256028961	US:::0.00	Ubisoft	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						99.99
8M9PRDP4XXVM-WD34	"Far Cry 5 for Xbox One"	"Rise up, spark the fires of resistance, and liberate Hope County from the stronghold of a fanatical doomsday cult.  Release date: March 27, 2018"	59.99	https://www.microsoft.com/en-us/store/d/far-cry-5-for-xbox-one/8M9PRDP4XXVM/WD34	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net//cms/api/am/imageFileData/RW9436?ver=0361	new		887256028916	US:::0.00	Ubisoft	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						59.99
8M9TL0QLQQLX-KT2H	"LEGO CITY Undercover for Xbox One"	"Go undercover as Chase McCain in a LEGO world filled with cops, criminals, and side-splitting humor."	59.99	https://www.microsoft.com/en-us/store/d/lego-city-undercover-for-xbox-one/8M9TL0QLQQLX/KT2H	Gaming	in stock	http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW2qT3?ver=d1a6	new		883929580200	US:::0.00	Warner Bros.	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						29.99
8M9X1TS7M0CG-VJJ4	"Sword Art Online: Fatal Bullet for Xbox One"	"Become the hero, battle against opponents using new weapons, and prove your strength as you explore the diverse landscape of Gun Gale Online.   Release date: February 23, 2018"	59.95	https://www.microsoft.com/en-us/store/d/sword-art-online-fatal-bullet-for-xbox-one/8M9X1TS7M0CG/VJJ4	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1EiZv?ver=e034	new			US:::0.00		Software	"Video Game Software"		no	unisex	adult	Software > Video Game Software						59.95
8MB6CR05S1QD-DFL2	"Homefront: The Revolution Goliath Edition for Xbox One"	"The Goliath Edition includes the game, plus:   A radio controlled scale replica 'Goliath' Drone, with working lights and six-wheel suspension.  An exclusive Steel Book  A 32 page Art Book  The 'Revolutionary Spirit' pack  Homefront: The Revolution Expansion Pass"	159.99	https://www.microsoft.com/en-us/store/d/homefront-the-revolution-para-xbox-one/8MB6CR05S1QD/DFL2	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW83Ne?ver=21d4	new		816819013366	US:::0.00	Deep Silver	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						159.99
8MBJGK735TR9-9WGS	"Sherlock Holmes: The Devil's Daughter for Xbox One"	"Untangle a web of mysteries while playing the extraordinary Sherlock Holmes in this fantastic adventure that tests your nerves and intelligence. Use the science of deduction to track down evil in the darkest corners of London and uncover a stunning revelation."	19.95	https://www.microsoft.com/en-us/store/d/sherlock-holmes-the-devils-daughter-for-xbox-one/8MBJGK735TR9/9WGS	Gaming	in stock	http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1oooS?ver=faea	new		722674220675	US:::0.00	Namco	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						19.95
8MC6K8M228SK-6GN2	"Surface Pro + Black Type Cover Bundle"	" Surface Pro with 7th Gen Intel Core processor and all-day battery life²  Black Surface Pro Type Cover   Fastest startup and resume of any Surface Pro yet   Redesigned front-facing speakers and quieter fanless cooling system⁵   Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase*    Surface Pen sold separately    Exceptional care and support at Microsoft Store:   30-day returns | Free training | In-store support | Phone technical support"	928.99	https://www.microsoft.com/en-us/store/d/surface-pro--black-type-cover-bundle/8MC6K8M228SK/6GN2	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=fa95	new		889842239317	US:::0.00		Electronics	"Computers"		yes	unisex	adult	Electronics > Computers > Laptops						699
8MC6K8M228SK-7FB9	"Surface Pro + Black Type Cover Bundle "	" Surface Pro with 7th Gen Intel Core processor and all-day battery life²   Black Surface Pro Type Cover   Fastest startup and resume of any Surface Pro yet   Redesigned front-facing speakers and quieter fanless cooling system⁵   Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase*    Surface Pen sold separately    Exceptional care and support at Microsoft Store:   30-day returns | Free training | In-store support | Phone technical support "	1428.99	https://www.microsoft.com/en-us/store/d/surface-pro--black-type-cover-bundle/8MC6K8M228SK/7FB9	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=fa95	new		889842239348	US:::0.00		Electronics	"Computers"		yes	unisex	adult	Electronics > Computers > Laptops						1228.99
